Payment_id,order_id,payment_installments,payment_type,payment_value,status,device,time_purchased,time_delivered
c01d9d68-e192-4cef-8d83-929d110b53ce,a611edf5be0b4e8838e79005178f7ee8,4,credit_card,130.84,Success,Mobile,2017-04-22 20:03:30,2017-05-03 13:08:12
f97c6289-30f7-4181-9bb7-65874cf32773,0adea70aa873a352ff8c3646aec71c31,4,credit_card,191.58,Success,Desktop,2017-05-20 08:41:39,2017-06-01 11:41:36
62ed2959-b1de-4c91-b21b-8425311fa6f5,320ecf6854e14e86b022c562c759b713,8,,277.64,Success,Desktop,2018-02-03 18:57:58,2018-02-07 19:45:04
02498f2a-5de5-4ed1-b146-d7b6f55a9512,761d2a6c3fc081b13c3cbfa01c4a8c37,1,credit_card,86.15,Success,Mobile,2017-08-17 00:19:21,2017-09-14 14:58:50
9384850f-57c6-4360-9831-8d4581487dbe,a33491b78e10dbccf1e59fa7d5daf81a,4,credit_card,237.78,Success,Desktop,2017-05-29 13:43:45,2017-06-14 16:47:37
3b8489bc-c878-499a-a476-d4a378417d4e,c21e26a623796821b827547ac056684c,,credit_card,65.62,Pending,Desktop,2017-11-25 15:58:13,2017-12-31 09:26:24
8a39078b-0315-4fc9-b1e3-5a5189712a05,edafb5849135e41d30dcb51fbaa78014,6,credit_card,71.13,Success,Tablet,2018-02-27 11:04:33,
4acf6899-d013-4b48-9619-05ed8f2e7cc7,40f7051042336b961ed4d8170f73bd41,6,credit_card,68.22,Success,Mobile,2018-04-15 22:54:11,2018-04-20 22:06:26
78670bcc-a024-46aa-a102-1910439b1513,b03b2909d81f43ae819ad1bce8c47e45,10,credit_card,610.72,Success,Mobile,2017-06-05 21:01:22,2017-06-19 20:07:41
68f6d282-6906-45fc-8c31-3b8732fd90cf,539a1383b0bd9b963044945e607f1aca,3,credit_card,188.06,Success,Mobile,2018-04-02 23:12:00,2018-04-13 23:08:48
a9b5f16e-b775-4a03-a830-bb9d0864d083,88afc72ed244948d6e29e7458db590b7,3,credit_card,342.65,Success,Mobile,2018-06-26 22:13:56,2018-07-14 00:32:31
16b69b30-17bf-49aa-88a2-64fa25a24ba5,79581b0708489f6f9539c0d29dc53bb7,4,credit_card,100.41,Success,Desktop,2018-07-22 21:51:37,2018-07-30 20:46:41
73b6484e-a4d7-4d75-9d4c-0606a2f9ad39,25cbbd756ea300d0566add5ebb8b3a25,5,credit_card,118.35,Success,Desktop,2018-08-16 23:17:20,2018-08-23 16:48:29
87da9ab5-9525-4ec0-b740-bcd7712d0be9,25e5f6a88a4525f820943240376c45c5,1,debit_card,98.81,Success,Mobile,2017-11-26 14:08:44,2018-01-06 17:09:50
494fd3b2-f16c-448a-809a-0c2bbc824f03,8fc40ab512fd704815938e379ac9c36f,1,credit_card,92.78,Success,Tablet,2017-09-08 14:19:36,2017-09-22 23:22:57
96e56d9f-7c69-4323-bcd3-fc793d0e4473,70a33c9dba6b43724e350938120b3e4f,1,credit_card,32.33,Success,Desktop,2018-08-02 12:13:22,2018-08-06 21:44:38
0ce9ee3b-68d5-498e-b376-40f125d57649,6be21280d401645f55cf3310fbffdd35,10,credit_card,173.84,Pending,Mobile,2017-11-25 09:30:01,2017-12-02 13:28:05
e8efc5c9-24d9-49ee-8a47-8c109d5c007a,6c8157ae5ddc36aa59aa6f0afa0ef5de,1,credit_card,40.19,Success,Tablet,2018-03-11 19:03:19,2018-03-15 21:22:33
ab6f7f3d-7df8-4bea-9447-97fba13c9db9,70aefd12bdd5391f02011072c16e6801,1,credit_card,0.42,Success,Mobile,2018-06-19 17:14:30,2018-06-21 18:28:46
23a46a66-a6e5-418c-b33b-717e6918ed1d,329aacec1c0231ed21bb1e2f8f4dc1e0,1,credit_card,133.98,Success,Mobile,2017-02-22 21:56:02,2017-03-02 14:25:52
44fd4570-2178-4f3b-bf85-09d267bc799e,ba1e2cba74b728e6e26fb11c5fa0b5c5,1,credit_card,37.61,Success,Mobile,2018-04-20 20:26:26,2018-04-26 00:11:29
2ac3d504-a417-4169-ae13-3dd41757f553,4ab27bfc7c06209a6e08813ca2da35af,7,credit_card,268.46,Pending,Mobile,2017-10-21 11:26:14,2017-10-30 19:07:31
06b743c1-950e-492f-9947-53a5d73b7fad,3f75656d4a9d4b3e18204bae2bd96925,1,credit_card,36.46,Success,Mobile,2018-08-05 09:56:45,2018-08-07 13:08:41
4afd17af-3c03-4831-9c54-5f1be4867e5b,5837e636f693fdd5742b60106640886b,3,credit_card,112.07,Success,Mobile,2017-07-18 19:01:54,2017-07-27 17:44:31
c233104f-a0e9-4c75-9b8e-ed67c6a47a76,e9385a6ce895738e4ea275adb91aa955,1,credit_card,27.79,Success,Mobile,2018-04-13 18:17:57,2018-04-24 13:19:32
c8dbab53-c9eb-417c-b3fa-e5a0e2af6af1,2525cd7ce3320dde22109e4066be3f7c,3,,82.68,Success,Desktop,2018-02-26 15:59:27,2018-03-15 14:08:41
40ffccae-6719-4787-8c59-d9b475ae9140,9a3956da42c0f49603a35e901b6e1fab,1,boleto,31.66,Pending,Tablet,2017-02-06 20:54:37,2017-02-16 13:32:34
b5ce93d6-a01c-48c4-9971-8d9a9a2fa7ed,b6162f47d6adbaf673e92b13e9358d89,1,boleto,137.16,Success,Mobile,2018-08-26 18:17:04,2018-08-29 12:08:34
11656e8c-2c94-46a1-8253-7e91c0f16b1e,c228fb80043a1ebf0ab361c676972a34,1,voucher,20.65,Success,Desktop,2017-11-23 21:55:07,2017-12-05 15:38:59
8bd3db65-ead5-4d36-b952-cbe29cd0bbf7,3391274af8aa8372225f9c42c63d853e,3,credit_card,158.59,Success,Desktop,2018-06-13 12:33:49,2018-06-20 00:36:32
ccc771d1-afa0-4b41-8cfd-ac46771a4588,79f0079f45f137b3a4d31ebbd20de6c2,1,credit_card,75.53,Success,Mobile,2017-04-17 14:31:01,2017-04-24 10:42:00
6af24805-8350-44c8-afc1-2fe48ec07b2d,d1f31783129ddeede87b72ab701d0e8a,8,credit_card,170.23,Success,Desktop,2018-04-01 18:29:32,2018-04-17 16:54:42
32d11a79-1507-4a87-a1c7-7d39c5841e36,e8c1420ad4481bb6f18daf1e95ae97a1,6,credit_card,68.66,Success,Mobile,2018-08-20 10:52:36,2018-08-25 18:03:27
41fe2f1f-b66e-4319-a9c9-a966802fc48e,44e7fe65fc17f2be51cf831609788a73,3,credit_card,95.4,Pending,Tablet,2018-04-07 15:01:23,2018-04-23 22:05:38
21fa7dd1-058d-4950-bcf6-f1eaf0194b2b,7af8ed2339bcf2d146c8ac50309f9555,1,credit_card,49.14,Success,Mobile,2017-11-29 20:28:39,2017-12-08 21:41:33
0eb37653-f941-4271-8916-6a3d1dae1cc2,ca91c1dd2e25ae6e5f339efbfcd507ef,1,credit_card,81.78,Pending,Desktop,2017-03-13 21:53:51,2017-03-22 04:51:23
b8474cb7-7442-4ff6-986f-f269bbca5c76,064406f58fe12697ff148d9a5851fe9e,1,boleto,98.44,Pending,Mobile,2018-02-01 15:30:02,2018-02-09 21:08:58
12b4c956-3257-4747-93ad-d5e67cf187e4,9214a22a09a3f31effc6384f1bd44604,1,credit_card,37.31,Success,Mobile,2018-06-29 13:20:06,2018-07-03 21:38:51
ae1ebfda-e220-4da7-93df-84dea85c7baf,1198ebbb7a23d6ca565a1c8596c5fb00,1,credit_card,195.63,Success,Tablet,2018-04-30 01:03:56,2018-05-08 21:14:56
f23953f5-f4be-4d88-a0e7-9c2e46a177cb,,3,credit_card,252.43,Success,Mobile,2018-03-27 22:16:32,2018-03-30 00:44:48
7d685056-1e9e-456c-95b0-36e90b9a76fd,8ac09207f415d55acff302df7d6a895c,4,credit_card,244.15,Success,Mobile,2018-01-29 14:50:01,2018-02-01 15:43:08
4dc445ee-79cc-4718-b007-e049a7a78a61,8d5ac17806cd132680edc938d69d0359,2,credit_card,70.89,Success,Mobile,2018-08-19 08:26:18,2018-08-27 18:06:43
28877a4c-5860-4083-b3a6-0a4a2f0194b2,7a0698ce87fc4cd3e171e7361f0bc0b5,1,credit_card,138.94,Success,Mobile,2018-06-20 12:39:18,2018-06-28 18:12:24
bf3c297e-d83e-4016-847c-cce53327d995,c671c0f8b33c619e3e77d7ccd3b934e0,1,credit_card,34.09,Success,Mobile,2018-02-11 20:19:41,2018-02-19 16:06:53
d99ccba9-356b-4a4e-ac8e-591b4ce503e9,2fd592f3553f88b7489e09179c93f261,1,boleto,233.58,Success,Mobile,2017-10-06 08:55:04,2017-10-13 17:54:43
093058b2-2b52-46fc-8c15-cb97cc188c37,541b54f009facbcd67def4fad5d0fce7,2,credit_card,206.43,Pending,Tablet,2018-08-01 14:11:25,2018-08-09 00:39:44
59aad688-f9c7-4eea-9550-b3e0413f6ac6,5e021cdf9b42799cd60d771910e43008,,voucher,164.88,Success,Mobile,2018-03-18 18:52:18,2018-03-29 23:47:29
6f190210-bd16-4c8e-9995-2efe57f5d0c8,2cb5d5cb410ad0b66df87bacd021c021,4,credit_card,183.79,Success,Mobile,2017-07-24 18:25:32,2017-07-27 16:56:12
1bca2140-4e59-4cf8-941b-74e702278d68,675a27f901e5f0350eed10f052e09b60,5,credit_card,95.09,Success,Desktop,2018-03-05 13:22:10,2018-03-15 20:26:44
0126c380-ef0c-4dae-a5b6-47949287f1ad,2c42da58ddeeeffa46d6ddc5e6725e31,2,credit_card,96.65,Success,Desktop,2018-06-18 22:14:06,2018-06-23 16:46:32
5bcfebe9-2645-4428-85fe-7b87c59fb67c,e5ac2ec6985bd8401bc382345e4266b3,1,credit_card,51.05,Pending,Mobile,2018-03-28 18:59:41,2018-04-07 01:08:46
a8e00b52-a6c8-4cb3-997f-b370dcc31817,9b9db79c99db350f6f1acf1359e9abc2,1,credit_card,20.78,Success,Mobile,2018-04-19 14:41:53,2018-05-02 18:12:55
7ddd67f2-0e8b-4cec-88d3-16a4d3904679,819cee97d3d5daa9991a8ffda20fc62c,1,boleto,36.69,Success,Desktop,2018-02-28 20:12:58,2018-03-13 20:37:34
99a9e59e-7ecd-4705-8ed7-5d12b096db0f,fa7c7045419850f12653d3ab75810322,3,credit_card,73.34,Success,Tablet,2017-07-25 14:06:16,2017-08-05 11:21:57
19ae020a-d2c7-45d0-8ca3-c2f1acedf8d5,19642ea4acfa0cbb8b9a990449873396,4,credit_card,293.25,Success,Tablet,2017-12-01 23:50:48,2017-12-20 18:48:58
172b2b78-ecc1-4a89-87e5-a0bcb8334074,40a24d4585c66a3d7ba902a7dcd233a9,2,credit_card,177.51,Success,Mobile,2018-08-02 19:24:32,2018-08-17 19:13:43
e3de615d-91a2-469a-965a-9208cb950a09,aef93cd9ec286c68d9f73fe1505fa2cc,1,credit_card,30.0,Success,Mobile,2017-07-12 01:43:41,2017-07-17 19:36:56
6c2c62e3-3281-4dbc-8590-39a207ccf453,8804ce4a12b1afd7c2751be6810e6597,5,credit_card,146.04,Success,Desktop,2018-02-12 10:32:52,2018-02-23 18:42:34
e0bc62c6-f89f-40ca-83df-c20c1ab31ab0,8f4be74e60d163c72a59ba577a642d70,5,credit_card,125.87,Pending,Tablet,2017-04-28 16:26:51,2017-05-16 17:42:18
1175466a-d042-49e5-83d0-4d94ab60311a,34a9a98676d240a885b690f92ef1b430,8,credit_card,186.72,Success,Mobile,2018-02-04 15:29:34,2018-02-19 22:57:07
5184b49c-14f1-4602-a94d-6331de534c76,04711aafa1156335ba1ea7f6f7b7daef,1,boleto,99.22,Success,Mobile,2017-11-05 22:04:34,2017-11-16 15:58:25
6295c2de-2462-46d0-809a-ce585c6f6031,d0edee3bcedfcfd101b0c1a59c2fdad3,1,credit_card,42.69,Success,Mobile,2018-03-15 09:53:51,2018-03-27 17:26:38
6b6f4fa1-3794-47d7-b7a5-c4e1779cf586,982f1dba4ba6a565f56a2f51e6a68740,1,voucher,25.0,Success,Mobile,2017-09-14 01:00:31,2017-09-21 18:32:09
1db90a6f-93d0-4f12-b39e-2106ec331a72,7f7c84dc8cc814c4354d21d64ed73a35,10,credit_card,613.0,Success,Mobile,2017-10-28 10:50:15,2017-11-01 16:47:53
8e9855da-84c8-4c73-bdb7-11be7bdb777f,b8a939e0425262884b50cbd95032f71b,3,credit_card,287.38,Success,Mobile,2017-09-26 17:05:47,2017-10-11 14:02:50
bdac259f-7f07-48e3-bc73-c5e39065a107,c8fd0f3c7bda7790a60b4e873b7a2a32,1,boleto,77.03,Success,Desktop,2018-04-19 15:34:20,2018-05-10 00:52:03
