session_id,session_start,customer_id,event_id,product_id,category_br,category_en,event_type,device,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
665,2025-08-13 10:10:21,806506dfe3d2254fc15ce9d6fe1d6c05,3,a25a9e3433043fb8a0808f310d8d8203,fashion_bolsas_e_acessorios,fashion_bags_accessories,search_initiated,mobile,9150e9fa2fae240e2ba7ae76179d221b,39715,virgolandia,MG
735,2025-08-12 02:50:25,ce0681e1c3f70e1452183c4eb5e66602,4,b8ded693eefc7fd6fae337f6c202093e,automotivo,auto,add_to_cart,desktop,ea5285161c5b3fceaeb2c38b6c9b6da2,9780,sao bernardo do campo,SP
441,2025-08-11 17:58:59,4ccfe8b4a000b269973930e647994535,2,e7d26dd6742baca292020c158e6720c3,malas_acessorios,luggage_accessories,scroll,desktop,b7f5292338691e33bcbb67fdb8695668,74959,aparecida de goiania,GO
336,2025-08-05 11:46:21,32c608689172699f708eca9ad42b373d,6,0e4ed218b40ef29464d9a9c778ea123f,brinquedos,toys,apply_coupon,tablet,fdce9a2878c33e84d8e3afb003cf8d7f,88135,palhoca,SC
898,2025-07-31 21:21:04,6f25b09936ecacb28520224addc912df,2,4c973b1f6f4357bcdcd7598abe7912bc,utilidades_domesticas,housewares,scroll,desktop,831af6f6b352ffb0d194a1ff4ebeaca6,8536,ferraz de vasconcelos,SP
805,2025-08-14 12:46:49,1f123329650f76ca910b1710f6b6a4af,2,c033f1d184d2a7206c602c1bbfa670ee,telefonia,telephony,scroll,desktop,fac55d6b57f0565e92813169d34f3278,40279,salvador,BA
733,2025-08-14 00:54:20,500e9bef5740343df08a23b9a9e69e5b,4,28e2aedad93288312a4929b8dd91ec73,ferramentas_jardim,garden_tools,add_to_cart,tablet,38244f285d64696e19b5d2ff854a3ea3,11045,santos,SP
495,2025-08-07 11:28:27,b685b86521680ad31716dd45765f5e47,2,343822490e45c4d1d286b343ce41e634,automotivo,auto,scroll,tablet,d8bfe3bbf611a34f336b242b1b1684a0,63500,iguatu,CE
878,2025-08-11 07:36:00,7ccd57bc5c4e0f34fcbc9209b2d4bdfa,1,9988437646bfc0cbe0f97d4451cb08fc,eletrodomesticos,home_appliances,page_view,mobile,71d5e9bcbe05f2adfa08c33a109c12e0,13290,louveira,SP
642,2025-08-06 16:20:28,cc839fd0ab1cd8c9baa64dadf30ca603,3,be6d51a5cb1162496a37597c412538df,instrumentos_musicais,musical_instruments,search_initiated,desktop,7f0b0de9aa3c47f2a883a702aec7be0b,20540,rio de janeiro,RJ
